-13.623,53.939,-39.761,17.829,53.566,-39.34,-20.341,-22.522,28.574,24.154
-26.05,34.331,-38.809,33.732,47.014,-61.454,-17.994,-12.924,35.073,5.1851
-18.625,36.459,-55.896,-5.1581,50.66,-28.782,-17.351,-30.688,45.666,27.295
-32.314,37.655,-36.466,4.4336,49.287,-54.207,-12.825,-29.398,36.979,6.8615
-30.619,27.692,-32.547,9.3593,59.005,-48.506,12.084,-10.653,54.547,18.584
-43.912,35.673,-37.602,9.3654,59.901,-61.19,3.9921,-16.657,13.975,8.8433
-44.345,6.1351,-26.866,-9.9142,68.536,-56.841,-9.81,-10.411,53.51,-1.5116
-24.133,37.88,-53.769,28.54,49.333,-49.983,-16.002,-15.132,38.681,19.125
-28.574,20.266,-1.3931,-9.2832,65.937,-75.905,-17.187,-20.984,40.933,44.219
-28.741,16.876,-26.326,9.7995,62.423,-58.542,-7.5693,-7.3019,70.782,8.1502
-34.98,35.698,-22.865,4.7326,70.97,-55.294,-8.9221,-11.861,34.514,22.148
-61.996,41.319,-22.114,24.643,57.271,-66.937,-29.452,-19.043,12.36,7.5147
1.6977,31.142,-33.902,-4.3582,76.987,-62.337,-17.029,-10.16,51.598,13.14
-15.426,19.343,-44.685,-12.303,77.298,-32.862,-13.646,-6.5896,31.046,12.707
-15.482,33.339,-43.659,7.2747,54.598,-50.246,-25.881,-22.678,25.674,14.307
-27.284,36.391,-42.186,8.1009,52.144,-22.97,-0.62099,-20.342,50.604,40.045
-7.3171,48.652,-48.747,-2.8021,50.063,-37.909,-7.43,-34.546,47.181,7.1878
-63.024,4.0746,-56.353,14.736,50.938,-48.23,5.2238,-8.4194,24.038,19.578
-11.494,30.749,-71.754,3.0708,45.969,-59.277,-14.235,-30.922,18.431,9.9145
-20.636,23.947,-38.576,22.539,56.142,-51.563,-5.4912,-7.0329,48.971,30.09
-35.11,16.895,-40.839,16.554,67.731,-25.173,-1.6897,3.5927,51.173,52.9
-56.816,36.315,-28.153,28.328,51.201,-48.121,-2.3422,-14.751,24.995,41.426
-23.13,51.673,-43.489,17.044,49.136,-44.983,-18.339,-29.023,34.411,24.354
-52.105,28.451,-21.435,9.6999,58.722,-49.438,-1.6549,-16.506,41.97,31.968
-51.204,22.544,-33.449,8.4991,60.528,-52.706,-3.3343,-14.104,29.937,35.213
-25.289,43.463,-31.591,17.695,58.495,-22.838,-2.5996,-13.717,81.302,32.174
-26.563,53.085,-23.8,-27.377,72.103,-53.339,-32.435,-41.581,5.6278,32.166
